Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/05/2022 00:00,CAPITL,61757,93.12,1.23,-74.34
01/05/2022 00:00,CENTRL,61754,26.46,-0.05,-8.96
01/05/2022 00:00,DUNWOD,61760,72.57,1.53,-53.49
01/05/2022 00:00,GENESE,61753,23.99,-0.47,-6.92
01/05/2022 00:00,H Q,61844,17.17,-0.39,0.00
01/05/2022 00:00,HUD VL,61758,71.43,1.30,-52.58
01/05/2022 00:00,LONGIL,61762,89.74,1.93,-70.25
01/05/2022 00:00,MHK VL,61756,28.98,0.54,-10.88
01/05/2022 00:00,MILLWD,61759,72.85,1.46,-53.85
01/05/2022 00:00,N.Y.C.,61761,72.70,1.61,-53.53
01/05/2022 00:00,NORTH,61755,17.18,-0.37,0.00
01/05/2022 00:00,NPX,61845,81.23,1.12,-62.56
01/05/2022 00:00,O H,61846,25.31,-1.35,-9.11
01/05/2022 00:00,PJM,61847,51.10,0.23,-33.32
01/05/2022 00:00,WEST,61752,26.28,-0.97,-9.70
01/05/2022 01:00,CAPITL,61757,84.97,1.16,-67.41
01/05/2022 01:00,CENTRL,61754,24.49,-0.03,-8.13
01/05/2022 01:00,DUNWOD,61760,66.32,1.43,-48.50
01/05/2022 01:00,GENESE,61753,22.30,-0.36,-6.27
01/05/2022 01:00,H Q,61844,16.03,-0.36,0.00
01/05/2022 01:00,HUD VL,61758,65.30,1.23,-47.68
01/05/2022 01:00,LONGIL,61762,69.13,1.85,-50.88
01/05/2022 01:00,MHK VL,61756,26.74,0.48,-9.87
01/05/2022 01:00,MILLWD,61759,66.59,1.38,-48.82
01/05/2022 01:00,N.Y.C.,61761,66.44,1.51,-48.54
01/05/2022 01:00,NORTH,61755,16.02,-0.38,0.00
01/05/2022 01:00,NPX,61845,74.17,1.05,-56.72
01/05/2022 01:00,O H,61846,23.60,-1.05,-8.26
01/05/2022 01:00,PJM,61847,46.90,0.30,-30.21
01/05/2022 01:00,WEST,61752,24.48,-0.70,-8.79
01/05/2022 02:00,CAPITL,61757,86.20,0.79,-73.98
01/05/2022 02:00,CENTRL,61754,20.34,-0.01,-8.92
01/05/2022 02:00,DUNWOD,61760,65.64,0.98,-53.23
01/05/2022 02:00,GENESE,61753,18.05,-0.26,-6.88
01/05/2022 02:00,H Q,61844,11.17,-0.26,0.00
01/05/2022 02:00,HUD VL,61758,64.60,0.85,-52.32
01/05/2022 02:00,LONGIL,61762,66.00,1.29,-53.28
01/05/2022 02:00,MHK VL,61756,22.59,0.33,-10.83
01/05/2022 02:00,MILLWD,61759,65.95,0.94,-53.58
01/05/2022 02:00,N.Y.C.,61761,65.74,1.04,-53.27
01/05/2022 02:00,NORTH,61755,11.16,-0.27,0.00
01/05/2022 02:00,NPX,61845,74.40,0.72,-62.25
01/05/2022 02:00,O H,61846,19.75,-0.74,-9.06
01/05/2022 02:00,PJM,61847,44.78,0.19,-33.15
01/05/2022 02:00,WEST,61752,20.58,-0.50,-9.65
01/05/2022 03:00,CAPITL,61757,88.01,0.67,-77.75
01/05/2022 03:00,CENTRL,61754,18.96,-0.01,-9.37
01/05/2022 03:00,DUNWOD,61760,66.35,0.81,-55.94
01/05/2022 03:00,GENESE,61753,16.61,-0.21,-7.23
01/05/2022 03:00,H Q,61844,9.37,-0.22,0.00
01/05/2022 03:00,HUD VL,61758,65.29,0.71,-54.99
01/05/2022 03:00,LONGIL,61762,66.69,1.09,-56.00
01/05/2022 03:00,MHK VL,61756,21.26,0.29,-11.38
01/05/2022 03:00,MILLWD,61759,66.69,0.79,-56.31
01/05/2022 03:00,N.Y.C.,61761,66.44,0.86,-55.98
01/05/2022 03:00,NORTH,61755,9.35,-0.24,0.00
01/05/2022 03:00,NPX,61845,75.62,0.60,-65.42
01/05/2022 03:00,O H,61846,18.51,-0.60,-9.52
01/05/2022 03:00,PJM,61847,44.61,0.17,-34.84
01/05/2022 03:00,WEST,61752,19.32,-0.41,-10.14
01/05/2022 04:00,CAPITL,61757,87.35,0.72,-76.50
01/05/2022 04:00,CENTRL,61754,19.36,0.01,-9.22
01/05/2022 04:00,DUNWOD,61760,66.05,0.88,-55.05
01/05/2022 04:00,GENESE,61753,17.06,-0.18,-7.12
01/05/2022 04:00,H Q,61844,9.88,-0.24,0.00
01/05/2022 04:00,HUD VL,61758,65.01,0.77,-54.11
01/05/2022 04:00,LONGIL,61762,66.46,1.21,-55.12
